gene,n_isoforms,pval_ref,pval_local,pval_official_match,stat_local,stat_official,hsic_trace,log10_diff_local,log10_diff_official,abs_diff
CNKSR2,3,0.0681922567626194,0.07709119767981693,0.0790416132003882,4.654145427179184e-06,4.654145427179184e-06,22.75188765781941,0.0532697295962421,0.06412073213099201,0.0532697295962421
VMA21,2,6.587337021078336e-09,2.653852140958052e-09,2.7950187894959893e-09,3.050915536535157e-05,3.050915536535157e-05,149.14464669578382,-0.3948331608277691,-0.3723251515930368,0.3948331608277691
CYBB,4,0.2557273678799594,0.1361615979958683,0.13945556945281234,1.8221852350333208e-05,1.8221852350333208e-05,89.07790787350324,-0.2737225689409354,-0.2633413451859469,0.2737225689409354
CA5B,3,0.7868691909942239,0.6864624042882589,0.69175197840506,4.555652325720033e-06,4.555652325720033e-06,22.270402062981223,-0.059285784240000805,-0.05595213142221289,0.059285784240000805
ZRSR2,2,0.4216070570393044,0.3160443543380632,0.3196887947425821,3.0890931626262514e-06,3.0890931626262514e-06,15.101096796454845,-0.12515983496354915,-0.12018045737968669,0.12515983496354915
SYAP1,6,0.3492045896695509,0.16950809554378887,0.17501855869154517,2.2523420837890416e-05,2.2523420837890416e-05,110.10621575786489,-0.31388949857336657,-0.2999958400659356,0.31388949857336657
GPR34,3,0.0328369559463062,0.059241624328379,0.06060480146476388,1.2974104979580208e-05,1.2974104979580208e-05,63.42418464888242,0.25626406748575525,0.26614414254625807,0.25626406748575525
TCEAL7,2,0.0017222005391075,0.0012465806824531653,0.0012839066558218177,8.604596421884619e-06,8.604596421884619e-06,42.06375030490781,-0.1403633282487622,-0.12755027058093615,0.1403633282487622
YIPF6,5,0.0120469557658818,0.0068126237095062344,0.00711658161531148,1.2463593682231432e-05,1.2463593682231432e-05,60.928539451055684,-0.2475629140477842,-0.2286058813458165,0.2475629140477842
GPR173,2,0.6218788561989931,0.5883930713403728,0.5926231856703291,1.6745291414813014e-06,1.6745291414813014e-06,8.185970873243313,-0.024038241084484685,-0.02092715238170667,0.024038241084484685
MAOA,2,0.1002369242652171,0.01892268703335617,0.019354427043676625,5.493559313752744e-06,5.493559313752744e-06,26.855380070025877,-0.7240449254850654,-0.7142474127533218,0.7240449254850654
NLGN3,2,0.7207905039870427,0.8840359760385624,0.8863932038699303,7.204882054671754e-06,7.204882054671754e-06,35.22121722678602,0.08866088266112984,0.08981736116510822,0.08866088266112984
TCEAL3,2,0.0327160756250149,0.060960555742457796,0.06211577906122819,5.081192983086885e-06,5.081192983086885e-06,24.839518602872882,0.2702877141478892,0.27844073313380435,0.2702877141478892
GSPT2,2,0.6199939619701804,0.5715440424102067,0.5757940400057485,2.490861183865814e-06,2.490861183865814e-06,12.176627205412892,-0.03533775782323309,-0.03212029476814626,0.03533775782323309
EOLA1,2,0.8594628480118728,0.8243571565676229,0.8273805406068055,3.444584037383193e-06,3.444584037383193e-06,16.838921403012524,-0.01811169561620779,-0.016521805800689432,0.01811169561620779
LINC00632,3,0.523115106634425,0.6157259211768602,0.6212932138816711,3.075414092240213e-06,3.075414092240213e-06,15.034226373612219,0.07079017528901879,0.07469934816615062,0.07079017528901879
DDX3X,2,0.0360365794091785,0.01725050290752575,0.017648886564176007,3.652252986310183e-06,3.652252986310183e-06,17.854115420890043,-0.3199418003748711,-0.31002624929953426,0.3199418003748711
JPX,6,0.2950061771149026,0.2998907891313492,0.30600506187022136,1.9077444345519442e-05,1.9077444345519442e-05,93.26048730940305,0.007132017273503988,0.015897500810433063,0.007132017273503988
ARMCX5-GPRASP2,5,0.3960351798368784,0.46018414941316327,0.46844164066883837,2.0985964209656352e-05,2.0985964209656352e-05,102.59032674415349,0.06519788969450185,0.07292172732635799,0.06519788969450185
TSPAN6,3,0.1534710944411039,0.08835917900090022,0.09049337322071493,1.540960375855691e-05,1.540960375855691e-05,75.33017157538438,-0.23977491826918063,-0.22940981296528573,0.23977491826918063
LAMP2,4,3.905446722072053e-05,1.3444614454458345e-05,1.4048935163908473e-05,4.6499168058833746e-05,4.6499168058833746e-05,227.312159538138,-0.4631223648982816,-0.4440273093269438,0.4631223648982816
PNPLA4,2,0.9249658240895572,0.921593110303377,0.9234106378888608,8.545872445236334e-06,8.545872445236334e-06,41.77667691185917,-0.0015864672260673812,-0.0007308131850478489,0.0015864672260673812
IDS,4,0.4381656813527989,0.46954422457500233,0.47568285169409386,2.3528659025567325e-05,2.3528659025567325e-05,115.0203437483254,0.030038143949894625,0.035679136326414174,0.030038143949894625
GPM6B,4,8.049906992488832e-20,5.580212851333026e-21,6.357895445470128e-21,7.100150249297414e-05,7.100150249297414e-05,347.09233596845644,-1.1591400976600923,-1.102477480881344,1.1591400976600923
GEMIN8,2,0.7532183504552021,0.7514146491810533,0.7550197375584236,3.543098731680355e-06,3.543098731680355e-06,17.32051255489278,-0.001041234488121462,0.001037412934893664,0.001041234488121462
OTUD5,2,0.1879929507676812,0.11380717607084191,0.11568747366699676,2.8120972868495214e-06,2.8120972868495214e-06,13.746996640806909,-0.21797191748281308,-0.21085522744665386,0.21797191748281308
GPC4,2,0.7876095507884737,0.7598909483117231,0.7634392318161216,2.6835510442801107e-06,2.6835510442801107e-06,13.11859563453525,-0.01555970258152009,-0.013536500056873735,0.01555970258152009
OPHN1,2,0.2512114842604989,0.28526006395779435,0.28871712039369807,2.8044341098140984e-06,2.8044341098140984e-06,13.709535038942526,0.05520148573193173,0.06043304799587523,0.05520148573193173
ATRX,2,0.0118879347624998,0.012201092262186557,0.012495228367758088,6.395158712977674e-06,6.395158712977674e-06,31.262867666724333,0.011292298041241988,0.021637784731235676,0.011292298041241988
HUWE1,2,0.5760076218074611,0.6296616829917294,0.6338100499572566,1.146966697093457e-05,1.146966697093457e-05,56.06970785042004,0.038679035739978496,0.04153089116176614,0.038679035739978496
SMARCA1,2,0.4008236762391296,0.5099256563213084,0.51418345918089,2.6081076587582056e-06,2.6081076587582056e-06,12.749789060100323,0.10455349660138158,0.10816473472713312,0.10455349660138158
UBL4A,2,0.8991830651449598,0.851113039330058,0.8538624571856299,1.0480945191691397e-06,1.0480945191691397e-06,5.123632066943242,-0.023860874873086108,-0.022460200153028687,0.023860874873086108
SEPTIN6,2,0.0234984734717159,0.0006840443776550314,0.0007054589888505691,3.890254178778657e-06,3.890254178778657e-06,19.01758924829722,-1.5359553725081487,-1.5225678786211017,1.5359553725081487
KDM5C,2,0.954502718643005,0.8588159186081645,0.8614793964273717,3.6784300844027134e-06,3.6784300844027134e-06,17.982082714634437,-0.04587708398471045,-0.04453227459794258,0.04587708398471045
RLIM,3,0.5634363920765216,0.2633085210867338,0.26761626759867485,9.28251852613953e-06,9.28251852613953e-06,45.377786747922144,-0.3303799806198282,-0.3233323850495746,0.3303799806198282
ABCB7,2,0.8965402608580547,0.866036574450533,0.8686163619378561,3.500557898551274e-06,3.500557898551274e-06,17.112550798783772,-0.015033563635715876,-0.013741791347733526,0.015033563635715876
MAP7D3,2,0.9280277835017916,0.9143080764578614,0.9162393515532313,2.562551031556099e-06,2.562551031556099e-06,12.527084531333651,-0.006468422332157456,-0.005552038068829743,0.006468422332157456
RBMX,3,0.4397583528413281,0.3494768427263702,0.3547200056489583,2.7488185123091547e-05,2.7488185123091547e-05,134.3765702261206,-0.0997956937504858,-0.09332841458091667,0.0997956937504858
CETN2,2,0.8609874261897875,0.913897632068227,0.9158352316598457,3.4016422267429144e-07,3.4016422267429144e-07,1.6628999459919498,0.025900742971528196,0.026820537485801155,0.025900742971528196
SH3KBP1,2,0.0070976487483042,0.0072306224928754305,0.007415423286165559,2.4932916368346346e-06,2.4932916368346346e-06,12.188508525790485,0.008061184852730552,0.019021443430554896,0.008061184852730552
CASK,3,0.5360045716091995,0.379539215597241,0.38457304247555574,7.737173604048342e-06,7.737173604048342e-06,37.823335644036,-0.14991183813456171,-0.1441896557201779,0.14991183813456171
DYNLT3,2,0.2214907308124953,0.25387394793124124,0.25711241983025707,3.2884247393125274e-06,3.2884247393125274e-06,16.075533395048815,0.05926258056775413,0.06476749966289774,0.05926258056775413
DHRSX,2,0.8110779916320655,0.665116158420447,0.6691548141156514,1.369769566391504e-05,1.369769566391504e-05,66.96147290465761,-0.08616511833473611,-0.08353601034180153,0.08616511833473611
MECP2,2,0.8847629427416412,0.8250715060485005,0.8280882065597137,3.508636777091242e-06,3.508636777091242e-06,17.152044566182855,-0.03033533546857401,-0.0287503248615466,0.03033533546857401
C1GALT1C1,2,0.0872912520121465,0.029109188939985407,0.02973427929666431,1.6295593859472825e-06,1.6295593859472825e-06,7.966135278950395,-0.47694061759273665,-0.46771330611534667,0.47694061759273665
EIF1AX,5,0.0100482897488013,0.005143134709131784,0.005382779879981997,3.510497783472638e-05,3.510497783472638e-05,171.61142134959442,-0.29086425020664275,-0.27108552931706353,0.29086425020664275
APLN,2,0.3145387654284849,0.22470998229347,0.22771951986891487,1.251415543495273e-05,1.251415543495273e-05,61.17571164103055,-0.14605181232394593,-0.14027391837893588,0.14605181232394593
